                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.07978,                0.24365,                      1,                0.35214,                  0.001,                  0.001,                  0.001
                      1,                 0.0729,                0.25127,                      1,                0.34662,                  0.001,                  0.001,                  0.001
                      2,                0.06399,                0.33249,                      1,                  0.341,              0.0009802,              0.0009802,              0.0009802
                      3,                0.05644,                0.31218,                      1,                 0.3469,              0.0009604,              0.0009604,              0.0009604
                      4,                0.04941,                0.40355,                      1,                0.32684,              0.0009406,              0.0009406,              0.0009406
                      5,                 0.0412,                 0.5203,                      1,                0.30066,              0.0009208,              0.0009208,              0.0009208
                      6,                0.03462,                0.59137,                      1,                0.28381,               0.000901,               0.000901,               0.000901
                      7,                0.02911,                0.67259,                      1,                0.26766,              0.0008812,              0.0008812,              0.0008812
                      8,                0.02335,                0.66244,                      1,                0.26649,              0.0008614,              0.0008614,              0.0008614
                      9,                0.02199,                0.71574,                      1,                0.25531,              0.0008416,              0.0008416,              0.0008416
                     10,                0.01694,                0.70812,                      1,                0.25444,              0.0008218,              0.0008218,              0.0008218
                     11,                0.01612,                0.70051,                      1,                0.25544,               0.000802,               0.000802,               0.000802
                     12,                0.01404,                0.70558,                      1,                0.25535,              0.0007822,              0.0007822,              0.0007822
                     13,                 0.0134,                0.73858,                      1,                0.24874,              0.0007624,              0.0007624,              0.0007624
                     14,                 0.0135,                0.75635,                      1,                0.24292,              0.0007426,              0.0007426,              0.0007426
                     15,                0.01003,                0.71574,                      1,                0.24807,              0.0007228,              0.0007228,              0.0007228
                     16,                0.00959,                0.67259,                      1,                0.25786,               0.000703,               0.000703,               0.000703
                     17,                0.00953,                0.74873,                      1,                0.24453,              0.0006832,              0.0006832,              0.0006832
                     18,                0.00748,                0.71066,                      1,                0.25114,              0.0006634,              0.0006634,              0.0006634
                     19,                0.00716,                0.72589,                      1,                0.24708,              0.0006436,              0.0006436,              0.0006436
                     20,                0.00789,                0.70051,                      1,                0.25736,              0.0006238,              0.0006238,              0.0006238
                     21,                0.00828,                0.72589,                      1,                0.24871,               0.000604,               0.000604,               0.000604
                     22,                0.00662,                0.74365,                      1,                 0.2463,              0.0005842,              0.0005842,              0.0005842
                     23,                0.00564,                0.73604,                      1,                0.24714,              0.0005644,              0.0005644,              0.0005644
                     24,                0.00684,                0.72335,                      1,                0.24966,              0.0005446,              0.0005446,              0.0005446
                     25,                0.00562,                0.72843,                      1,                0.24924,              0.0005248,              0.0005248,              0.0005248
                     26,                0.00526,                0.75127,                      1,                0.24427,               0.000505,               0.000505,               0.000505
                     27,                0.00357,                0.75127,                      1,                0.24354,              0.0004852,              0.0004852,              0.0004852
                     28,                0.00384,                0.75127,                      1,                0.24512,              0.0004654,              0.0004654,              0.0004654
                     29,                0.00496,                0.72843,                      1,                0.24639,              0.0004456,              0.0004456,              0.0004456
                     30,                0.00438,                0.75888,                      1,                0.24102,              0.0004258,              0.0004258,              0.0004258
                     31,                0.00543,                0.73096,                      1,                0.24926,               0.000406,               0.000406,               0.000406
                     32,                0.00421,                0.73096,                      1,                 0.2465,              0.0003862,              0.0003862,              0.0003862
                     33,                0.00438,                0.75127,                      1,                0.24189,              0.0003664,              0.0003664,              0.0003664
                     34,                0.00435,                0.74873,                      1,                0.24589,              0.0003466,              0.0003466,              0.0003466
                     35,                0.00352,                0.74112,                      1,                0.24266,              0.0003268,              0.0003268,              0.0003268
                     36,                0.00351,                0.72843,                      1,                0.24721,               0.000307,               0.000307,               0.000307
                     37,                0.00511,                0.75127,                      1,                0.24345,              0.0002872,              0.0002872,              0.0002872
                     38,                0.00333,                0.73604,                      1,                 0.2457,              0.0002674,              0.0002674,              0.0002674
                     39,                0.00345,                0.74112,                      1,                0.24653,              0.0002476,              0.0002476,              0.0002476
                     40,                0.00375,                0.71574,                      1,                0.24844,              0.0002278,              0.0002278,              0.0002278
                     41,                0.00319,                0.74112,                      1,                0.24398,               0.000208,               0.000208,               0.000208
                     42,                0.00401,                0.74365,                      1,                0.24445,              0.0001882,              0.0001882,              0.0001882
                     43,                0.00283,                0.73604,                      1,                0.24527,              0.0001684,              0.0001684,              0.0001684
                     44,                 0.0047,                0.73858,                      1,                0.24404,              0.0001486,              0.0001486,              0.0001486
                     45,                0.00413,                 0.7335,                      1,                0.24568,              0.0001288,              0.0001288,              0.0001288
                     46,                0.00323,                0.74112,                      1,                0.24418,               0.000109,               0.000109,               0.000109
                     47,                0.00344,                 0.7335,                      1,                0.24569,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.00299,                0.72589,                      1,                0.24661,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.00265,                0.72589,                      1,                0.24861,               4.96e-05,               4.96e-05,               4.96e-05
